BENCHMARK;PAPI_L1_DCM;PAPI_L1_ICM;PAPI_L2_DCM;PAPI_TLB_DM;PAPI_TLB_IM;PAPI_HW_INT;PAPI_BR_MSP;PAPI_TOT_INS;PAPI_LD_INS;PAPI_SR_INS;PAPI_BR_INS;PAPI_TOT_CYC;PAPI_L1_DCA;PAPI_L2_DCA;HILOS;POWER
BACKPROP;981969;17656;3843777;61222;974;2372;15550;29652242;9699316;2240935;2329282;176413686;12250547;8019132;1;2957.09
BFS;2289;3916;33654;467;73;9;1480;13047324;3009880;5019;4008735;12281163;3027676;67691;1;2739.43
B+TREE;4627552;368970;21084431;1320477;8569;1796;3546808;9059926709;1661614998;3998285;1402826542;10972981914;2122339773;47151365;1;2694.81
CFD;31122839;979035;10117;64;30;17281;11354899;4180621203;958449740;202674551;200731597;7668226841;1166094805;66515265;1;2681.76
HEARTWALL;10881202;220325;666160;10748;305;973;40508110;5177442174;1861573819;18286609;1048766979;5625563680;1883296250;42118251;1;2763.20
HOTSPOT;27504722;80241;8925957;114891;1814;403;2675726;741507298;235357798;34678622;41938156;2291072156;272527708;55138937;1;2743.45
HOTSPOT3D;96614776;749948;63371366;1046249;9819;242974;1245210;12208043084;3525588038;215138709;670135426;17956331733;3752888625;262246670;1;2729.48
KMEANS;263874;45568;1122488;18525;264;13696;4132722;650392922;211556692;18049018;107985357;1011172647;230287345;2584958;1;2710.32
LAVAMD;3471752;2141292;620756;4768;391;640929;15145374;28193918725;10104615706;1987990579;3117269303;47701711751;13005304591;11979000;1;2691.62

LUD;1060880;16740;181990;394;58;2104;459357;140085192;61092191;11418879;5422117;150850777;72686348;2150570;1;2776.19
NN;49172;489429;37544;77;38;4836;1129967;106918545;18025670;8618899;17897157;121990393;34799683;653546;1;2723.29
NW;6874068;76095;4498471;2094788;5649;636;658625;371543956;80619865;57554182;31727447;697131869;159141023;13882447;1;2790.07
SRADV1;58694683;302226;19050320;287088;6847;1302;226540;2080084025;485765392;139044033;93368072;6344551951;649235292;125049511;1;2719.88
SRADV2;66138174;114319;6457861;108719;1007;544;38716;700257991;168672408;50740872;25791534;3100086061;225187299;132552579;1;2740.17
PARTICLEFILTER;3120862;108780;455015;6785;379;504;538885;2996006354;379515776;8142301;709364021;2511206881;424350605;61464102;1;2764.15
PATHFINDER;605009;68368;1827308;16665;919;282;6597921;695147407;292711010;49672406;101515127;1046167483;342586446;4235619;1;2703.41
BT;5882956;200923;7687935;40972;3338;4836;228234;457905479;198899181;98903972;4784201;893778569;298623253;26347806;1;2855.44
CG;3030362;42076;5027261;3992;185;2072;676947;233897303;97808962;2464235;33578313;430108635;100571191;17093036;1;2869.85
EP;1678254;272828;7833340;3003;354;1171;11726192;3313251098;658695999;130332889;220945414;6877535548;869485737;19979790;1;2689.91
FT;6455214;58501;2021855;182998;1049;8556;1657381;460145481;100661408;81141493;24477030;544936551;182337579;26542581;1;2849.96
IS;8796;1275;6396;49;13;99;949;4410976;1460976;745929;747423;5513535;2626290;223033;1;2784.00
MG;179100;8490;193211;260;35;209;53797;22507950;8922709;1876324;1088118;33284956;10861258;833246;1;2824.16
SP;6523707;329110;722890;626;159;87504;1226800;256105094;69165020;36847191;19100644;492676169;118722884;17924425;1;2761.61
BACKPROP;915653;6995;744099;30173;227;1144;4958;14501934;4776819;1074407;1120025;84001758;5907680;3581832;2;3244.47
BFS;1104;2565;17284;161;30;6;629;6720182;1528986;1920;2053897;6307204;1545202;33720;2;3049.33
B+TREE;3051650;216171;9674454;662877;4067;921;1782796;4530520166;830912746;2045009;701493636;5508571621;1060986820;19180742;2;2858.11
CFD;14561940;405541;4314;85;44;22541;6477721;2163848683;491026722;103132436;119788828;3876678417;598339607;30021606;2;2825.28
HEARTWALL;6637662;112786;373417;5364;160;497;20626314;2639542952;949052728;9329303;534677946;2882192017;960130813;26242852;2;3010.89
HOTSPOT;12517921;50137;4321689;58284;884;15516;1374051;378296001;118654466;17457134;22816303;1145836597;137865808;25112545;2;2953.41
HOTSPOT3D;38915020;326489;31508831;517712;4672;1513;320606;6219058137;1778448552;106491923;354273235;8879493850;1886891074;113335194;2;2966.86
KMEANS;307717;21777;563753;9242;141;94;2049290;326303881;105889123;8953926;54290581;504142981;114936581;1422045;2;2922.96
