BENCHMARK;PAPI_L1_DCM;PAPI_L1_ICM;PAPI_L2_DCM;PAPI_TLB_DM;PAPI_TLB_IM;PAPI_HW_INT;PAPI_BR_MSP;PAPI_TOT_INS;PAPI_LD_INS;PAPI_SR_INS;PAPI_BR_INS;PAPI_TOT_CYC;PAPI_L1_DCA;PAPI_L2_DCA;HILOS;POWER
BACKPROP;935485;9291;3830027;60232;300;36;3163;28555278;9488825;2125361;2135571;177365541;11651793;7803739;1;2300.45
BFS;3287;3333;33684;423;62;189;1303;13058007;3010134;4384;4012717;12388648;3031261;68748;1;1986.39
B+TREE;4627552;368970;21084431;1320477;8569;1796;3546808;9059926709;1661614998;3998285;1402826542;10972981914;2122339773;47151365;1;2172.15
CFD;32554157;786201;11902;143;87;16866;12080989;4176482933;957599400;202210188;200096030;7680664691;1163885076;68973952;1;2111.18
HEARTWALL;12474244;177338;618129;10662;302;52808;40560420;5185139399;1862542479;18546340;1050782873;5673932018;1884341278;47146507;1;2212.41
HOTSPOT;18786418;91840;8380104;114805;1685;1484;2660832;740235962;235089290;34542449;41716794;2396582925;272028395;37711473;1;1978.36
HOTSPOT3D;74869748;1305437;63669263;1057872;12374;139684;1358656;12222273224;3530891366;219276523;670138745;18578857225;3767798264;221714993;1;2318.23
KMEANS;28546;9827;228799;3775;89;35;831691;131189952;42760739;3633863;21744344;202373108;46436209;487843;1;2023.27
LAVAMD;127834;87661;15953;106;28;363;609928;1279114260;459579920;90304394;140726454;2150977568;590481563;497201;1;1905.18
LUD;850654;15405;180093;336;74;2092;458701;140071146;61090172;11419271;5417615;147875814;72691608;1731987;1;2004.65
NN;58961;495383;38673;169;49;6497;1137204;107235903;18068522;8634034;17972960;123157307;34923719;695289;1;1938.18
NW;6787169;75385;4462993;2093579;5442;634;658020;371503121;80608411;57544605;31724687;709526413;158062139;13679427;1;2053.82
SRADV1;54281991;231938;18974088;289121;6739;970;207536;2076808121;485066411;138639807;92887888;6701501369;647506758;116073014;1;2182.23
SRADV2;48596684;87973;6425749;108163;984;415;31421;699417286;168501584;50660981;25646673;2848610742;224683745;97571373;1;2045.14
PARTICLEFILTER;4022515;75560;447864;6556;355;355;536202;3090865155;391365214;8131686;733088751;2592619026;382690547;49013458;1;2239.05
PATHFINDER;600286;62440;1819911;17169;988;274;6597285;695065019;292694698;49663859;101501993;1047558717;342450531;4208690;1;1954.90
BT;6266108;426057;7815566;46596;4447;17112;330541;464468238;200212426;99618210;5945502;926610697;302185192;27357714;1;2132.35
CG;3349006;116336;5137058;7073;1381;7964;719930;237213214;98472194;2822110;34167179;446638639;102340020;17804699;1;2113.57
EP;649574;173234;7781118;1456;321;764;11697548;3309358862;657871620;129867755;220376654;6869794258;867540472;17747504;1;2131.88
FT;6175144;61432;1962867;182581;988;1186;1636955;458759702;100466459;81080981;24138021;545542151;181889035;26629853;1;2121.73
IS;7988;2193;8324;76;21;103;862;4407591;1460315;745585;746812;5468491;2626928;218479;1;2137.60
MG;173174;9964;197949;170;24;212;53726;22493497;8919723;1874776;1085432;33404800;10855212;818187;1;2103.20
SP;6485229;384940;748657;411;107;87488;1229520;256086391;69161385;36843935;19098908;494080415;118686677;17938065;1;2016.08
BACKPROP;909082;6103;825449;30163;180;25;2040;14296186;4748202;1063943;1072878;83529891;5827043;3489015;2;2594.33
BFS;1960;3726;17702;165;31;98;1381;6564531;1513026;7085;2011552;6280748;1561091;41044;2;2205.68
B+TREE;3051650;216171;9674454;662877;4067;921;1782796;4530520166;830912746;2045009;701493636;5508571621;1060986820;19180742;2;2193.95
CFD;16241420;395175;4823;65;30;24277;6440026;2152510418;489660198;103207789;116906165;3889963012;596372279;33484209;2;2239.01
HEARTWALL;6130757;116401;376141;5462;174;484;20606438;2639412579;949032381;9323210;534658947;2876490477;960129991;23797175;2;2242.08
HOTSPOT;9359199;38887;4188439;56745;820;165;1335495;375278034;118215540;17304003;22102815;1077506182;136721903;18729594;2;2351.90
